id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1420119929316122627,1420119929316122627,2021-07-28 04:32:30 CST,2021-07-28,04:32:30,+0800,1359483955695681538,btcgandalf,₿itcoin Shadowy Super-Gandalf,,🤣🤣🤣🤣 #eth,und,[],[],[],0,0,0,['eth'],[],https://twitter.com/BTCGandalf/status/1420119929316122627,False,https://twitter.com/whale_alert/status/1420101245524758531,0,,,,,,,,[],,,,
1420119920235405324,1420119920235405324,2021-07-28 04:32:28 CST,2021-07-28,04:32:28,+0800,1353978151727194113,voortfok,David Bezuidenhout,,MAKE THIS HAPPEN!! GO TEAM #SHIB  @SHIBARMY @ShytoshiKusama @SHIBINFORMER  #SHIB #SHIBASWAP #SHIBARMY #GGPOKER #POKERSTARS #SHIBA #BTC  #ETH #ADA #XRP #SAFEMOON #FEG,en,"[{'screen_name': 'shibarmy', 'name': 'shibarmy', 'id': '1357282440335736833'}, {'screen_name': 'shytoshikusama', 'name': 'shytoshi kusama', 'id': '1349928660136910851'}, {'screen_name': 'shibinformer', 'name': 'shib informer', 'id': '1362892883494322176'}]",[],[],0,0,0,"['shib', 'shib', 'shibaswap', 'shibarmy', 'ggpoker', 'pokerstars', 'shiba', 'btc', 'eth', 'ada', 'xrp', 'safemoon', 'feg']",[],https://twitter.com/VoortFok/status/1420119920235405324,False,https://twitter.com/PokerShib/status/1420119167135592452,0,,,,,,,,[],,,,
1420119907702824962,1420119907702824962,2021-07-28 04:32:25 CST,2021-07-28,04:32:25,+0800,1332343145019924481,standtigray,TigrayAdey,,#Tigrayans in #eth are unlawfully being arrested &amp; detained. This so called ceasefire has not stopped from Tigrayans from being #ethnicallyprofiled. #TigrayMassArrest @TomWoodroffeUK @BWoodward_UN @NataliePalmerUK @jmsroscoe @MattJacksonUK @AmbassadorAllen  https://t.co/fnXYaqU8Xm,en,"[{'screen_name': 'tomwoodroffeuk', 'name': 'tom woodroffe', 'id': '1282763901504032769'}, {'screen_name': 'bwoodward_un', 'name': 'ambassador barbara woodward', 'id': '1329536963356090369'}, {'screen_name': 'nataliepalmeruk', 'name': 'natalie palmer', 'id': '1084883585948094464'}, {'screen_name': 'jmsroscoe', 'name': 'james roscoe', 'id': '46189930'}, {'screen_name': 'mattjacksonuk', 'name': 'matt jackson', 'id': '951777043'}, {'screen_name': 'ambassadorallen', 'name': 'jonathan allen', 'id': '453898515'}]",['https://bit.ly/3rBHz7o'],[],0,0,0,"['tigrayans', 'eth', 'ethnicallyprofiled', 'tigraymassarrest']",[],https://twitter.com/StandTigray/status/1420119907702824962,False,,0,,,,,,,,[],,,,
1420119896134979585,1420119896134979585,2021-07-28 04:32:22 CST,2021-07-28,04:32:22,+0800,3805571254,dejen_art,dejen.eth,,Nervous about sharing my art. I hope it’s well received. Drop soon!!   #nft #degen #sneakpeak #eth  https://t.co/Ej6l1fySel,en,[],[],['https://pbs.twimg.com/media/E7VHhCnXEAEww05.jpg'],0,0,0,"['nft', 'degen', 'sneakpeak', 'eth']",[],https://twitter.com/dejen_art/status/1420119896134979585,False,,1,https://pbs.twimg.com/media/E7VHhCnXEAEww05.jpg,,,,,,,[],,,,
1420119870528794626,1420119870528794626,2021-07-28 04:32:16 CST,2021-07-28,04:32:16,+0800,1397348229822435329,fireshib,Crypt0Fir3,,It's summer time and Bull Season!!!!!! $Kirby is ready for action time to make some gains!!!!!!! @KirbyInu   $DIAMND $DAWGS $MM $HODL #STARL $CLT $FLOKI $STARL $TT $EMAX #SAITAMA $CMERGE $HOGE #FTPEthReflection #ETH #ETHEREUM $KIRBY #KIRBYINU  https://t.co/Pl8w1UBleZ,en,"[{'screen_name': 'kirbyinu', 'name': 'kirby inu (っ^‿^)っ', 'id': '1406853590426206214'}]",[],['https://pbs.twimg.com/media/E7VHDKNX0A4HHR-.jpg'],0,0,0,"['starl', 'saitama', 'ftpethreflection', 'eth', 'ethereum', 'kirbyinu']","['kirby', 'diamnd', 'dawgs', 'mm', 'hodl', 'clt', 'floki', 'starl', 'tt', 'emax', 'cmerge', 'hoge', 'kirby']",https://twitter.com/FireShib/status/1420119870528794626,False,,1,https://pbs.twimg.com/media/E7VHDKNX0A4HHR-.jpg,,,,,,,[],,,,
1420119837863555088,1420119837863555088,2021-07-28 04:32:08 CST,2021-07-28,04:32:08,+0800,491388651,kelvin_belinho,kelvin santos,,@JaquelineLanda9 @JoaoCMoleta @teu_psl @bruno_gabo @Alyssonalyarte  #FLY #ETH #25K,und,"[{'screen_name': 'joaocmoleta', 'name': 'joao carlos moleta', 'id': '368936203'}, {'screen_name': 'teu_psl', 'name': 'mateus ✌', 'id': '2850195184'}, {'screen_name': 'bruno_gabo', 'name': 'bruno gabriel  ', 'id': '3378290133'}, {'screen_name': 'alyssonalyarte', 'name': 'oalesson  lópez tv', 'id': '1967840372'}]",[],[],0,0,0,"['fly', 'eth', '25k']",[],https://twitter.com/kelvin_belinho/status/1420119837863555088,False,https://twitter.com/FrankLinYield/status/1419278829055614982,0,,,,,,,,[],,,,
1420119805202292737,1420119619659083780,2021-07-28 04:32:00 CST,2021-07-28,04:32:00,+0800,965730757124567040,crypto_jamez,💎James 🙌🏼,,@whale_alert The FIRST EVER decentralized video streaming platform! 👾   Just launched! Already 250K MC! 🧚‍♀️  Great utility with a great future! 🧚  Official Twitter: @fairy_token Telegram:  https://t.co/1yWLIue7ec Website:  https://t.co/XKzqjYysXJ  #crypto #moonshots #eth #uniswap,en,"[{'screen_name': 'fairy_token', 'name': 'fairytoken', 'id': '1415365631210401792'}]","['https://t.me/fairytoken', 'https://fairytoken.io/']",[],0,0,0,"['crypto', 'moonshots', 'eth', 'uniswap']",[],https://twitter.com/crypto_jamez/status/1420119805202292737,False,,0,,,,,,,,"[{'screen_name': 'whale_alert', 'name': 'Whale Alert', 'id': '1039833297751302144'}]",,,,
1420119740152954888,1420119740152954888,2021-07-28 04:31:45 CST,2021-07-28,04:31:45,+0800,1398195728917409794,helanmikael,Helan G/mikael,,"#TPLFisaTerroristGroup said, “no household gets humanitarian assistance unless Tigray mothers send their children to fight.” This is weaponizing of hunger to recruit #Childsoldiers. #ChildrenNotSoldiers #TPLFisaTerroristGroup #ETH @dagmawit_moges @seleshi_b_a @POTUS @BBCWorld  https://t.co/FjGjqY2cIb",en,"[{'screen_name': 'dagmawit_moges', 'name': 'dagmawit moges', 'id': '1031804729972740096'}, {'screen_name': 'seleshi_b_a', 'name': 'dr eng seleshi bekele', 'id': '4160135608'}, {'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}, {'screen_name': 'bbcworld', 'name': 'bbc news (world)', 'id': '742143'}]",[],"['https://pbs.twimg.com/media/E7VHXnMXEAIZO_P.jpg', 'https://pbs.twimg.com/media/E7VHX79WEAgRGMX.jpg']",0,0,0,"['tplfisaterroristgroup', 'childsoldiers', 'childrennotsoldiers', 'tplfisaterroristgroup', 'eth']",[],https://twitter.com/HelanMikael/status/1420119740152954888,False,,1,https://pbs.twimg.com/media/E7VHXnMXEAIZO_P.jpg,,,,,,,[],,,,
1420119712952881155,1420119712952881155,2021-07-28 04:31:38 CST,2021-07-28,04:31:38,+0800,1229837783730180097,ja______ma,Jabon,,#SP500 #DJ #QQQ #EUR #GOLD #WTI #BTC #ETH #BNB  https://t.co/FkphmKsN0D,und,[],[],['https://pbs.twimg.com/media/E7VHWpSWUAE_pcJ.png'],0,0,0,"['sp500', 'dj', 'qqq', 'eur', 'gold', 'wti', 'btc', 'eth', 'bnb']",[],https://twitter.com/Ja______Ma/status/1420119712952881155,False,,1,https://pbs.twimg.com/media/E7VHWpSWUAE_pcJ.png,,,,,,,[],,,,
1420119700487430145,1420119700487430145,2021-07-28 04:31:35 CST,2021-07-28,04:31:35,+0800,1319160885395525633,hamza_cobann,Hamza Çoban,,"Hey, @CoinbasePro! It's been a while. Let's work things out! List $SHIB? 🚀🚀   #APENFT $NFT #nftcoin #safemars #SAFEMOON #DOGE #dogearmy $doge #ShibaSwap $shiba  #shiba $ass #xrp #Bitcoin #etherium #eth 🚀🚀",en,"[{'screen_name': 'coinbasepro', 'name': 'coinbase pro', 'id': '720487892670410753'}]",[],[],0,0,0,"['apenft', 'nftcoin', 'safemars', 'safemoon', 'doge', 'dogearmy', 'shibaswap', 'shiba', 'xrp', 'bitcoin', 'etherium', 'eth']","['shib', 'nft', 'doge', 'shiba', 'ass']",https://twitter.com/Hamza_Cobann/status/1420119700487430145,False,,0,,,,,,,,[],,,,
1420119695257001986,1420119695257001986,2021-07-28 04:31:34 CST,2021-07-28,04:31:34,+0800,2159453065,bitcoinpressuk,BitcoinPress,,#Ethereum #ETH #INDIA India to use Ethereum technology to verify diplomas – Cointelegraph – Seeking Alpha  https://t.co/pttmCeV4Qo,en,[],['https://bitcoinpress.co.uk/india-to-use-ethereum-technology-to-verify-diplomas-cointelegraph-seeking-alpha/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=india-to-use-ethereum-technology-to-verify-diplomas-cointelegraph-seeking-alpha'],[],0,0,0,"['ethereum', 'eth', 'india']",[],https://twitter.com/bitcoinpressuk/status/1420119695257001986,False,,0,,,,,,,,[],,,,
1420119654123638797,1419974252388917255,2021-07-28 04:31:24 CST,2021-07-28,04:31:24,+0800,1388235238766174213,cryptovincem,Vincent Mellaerts,,@DiFeProtocol Check out this exlusive offer! 🔥  0x60df61DbfB677a9A4d0B9452c890B88E94ff708a  #ICO #Airdrops #eth #Freetokens #freecoins #ether #ethereum,en,[],[],[],0,0,0,"['ico', 'airdrops', 'eth', 'freetokens', 'freecoins', 'ether', 'ethereum']",[],https://twitter.com/CryptoVinceM/status/1420119654123638797,False,,0,,,,,,,,"[{'screen_name': 'DiFeProtocol', 'name': 'DiFe Protocol', 'id': '1346543025112145925'}]",,,,
